"date","open","high","low","close","adj","volume"
2024-09-03,228.550003051758,229,221.169998168945,222.770004272461,220.921951293945,50190600
2024-09-04,221.660003662109,221.779998779297,217.479995727539,220.850006103516,219.017868041992,43840200
2024-09-05,221.630004882812,225.479995727539,221.520004272461,222.380004882812,220.535186767578,36615400
2024-09-06,223.949996948242,225.240005493164,219.770004272461,220.820007324219,218.98811340332,48423000
2024-09-09,220.820007324219,221.270004272461,216.710006713867,220.910003662109,219.077377319336,67180000
2024-09-10,218.919998168945,221.479995727539,216.729995727539,220.110000610352,218.28401184082,51591000
2024-09-11,221.460006713867,223.089996337891,217.889999389648,222.660003662109,220.812850952148,44587100
2024-09-12,222.5,223.550003051758,219.820007324219,222.770004272461,220.921951293945,37455600
2024-09-13,223.580001831055,224.039993286133,221.910003662109,222.5,220.654190063477,36766600
2024-09-16,216.539993286133,217.220001220703,213.919998168945,216.320007324219,214.525451660156,59357400
2024-09-17,215.75,216.899993896484,214.5,216.789993286133,214.991546630859,45519300
2024-09-18,217.550003051758,222.710006713867,217.539993286133,220.690002441406,218.85920715332,59894900
2024-09-19,224.990005493164,229.820007324219,224.630004882812,228.869995117188,226.971328735352,66781300
2024-09-20,229.970001220703,233.089996337891,227.619995117188,228.199996948242,226.306884765625,318679900
2024-09-23,227.339996337891,229.449996948242,225.809997558594,226.470001220703,224.591247558594,54146000
2024-09-24,228.649993896484,229.350006103516,225.729995727539,227.369995117188,225.483779907227,43556100
2024-09-25,224.929992675781,227.289993286133,224.020004272461,226.369995117188,224.492065429688,42308700
2024-09-26,227.300003051758,228.5,225.410003662109,227.520004272461,225.632537841797,36636700
2024-09-27,228.460006713867,229.520004272461,227.300003051758,227.789993286133,225.900283813477,34026000
2024-09-30,230.039993286133,233,229.649993896484,233,231.06706237793,54541900
2024-10-01,229.520004272461,229.649993896484,223.740005493164,226.210006713867,224.333419799805,63285000
2024-10-02,225.889999389648,227.369995117188,223.020004272461,226.779998779297,224.898666381836,32880600
2024-10-03,225.139999389648,226.809997558594,223.320007324219,225.669998168945,223.797882080078,34044200
2024-10-04,227.899993896484,228,224.130004882812,226.800003051758,224.918518066406,37245100
2024-10-07,224.5,225.690002441406,221.330001831055,221.690002441406,219.850921630859,39505400
2024-10-08,224.300003051758,225.979995727539,223.25,225.770004272461,223.897033691406,31855700
2024-10-09,225.229995727539,229.75,224.830001831055,229.539993286133,227.635772705078,33591100
2024-10-10,227.779998779297,229.5,227.169998168945,229.039993286133,227.139938354492,28183500
2024-10-11,229.300003051758,229.410003662109,227.339996337891,227.550003051758,225.662307739258,31759200
2024-10-14,228.699996948242,231.729995727539,228.600006103516,231.300003051758,229.381195068359,39882100
2024-10-15,233.610000610352,237.490005493164,232.369995117188,233.850006103516,231.910018920898,64751400
2024-10-16,231.600006103516,232.119995117188,229.839996337891,231.779998779297,229.857208251953,34082200
2024-10-17,233.429992675781,233.850006103516,230.520004272461,232.149993896484,230.224105834961,32993800
2024-10-18,236.179992675781,236.179992675781,234.009994506836,235,233.050491333008,46431500
2024-10-21,234.449996948242,236.850006103516,234.449996948242,236.479995727539,234.518203735352,36254500
2024-10-22,233.889999389648,236.220001220703,232.600006103516,235.860000610352,233.903335571289,38846600
2024-10-23,234.080001831055,235.139999389648,227.759994506836,230.759994506836,228.845657348633,52287000
2024-10-24,229.979995727539,230.820007324219,228.410003662109,230.570007324219,228.6572265625,31109500
2024-10-25,229.740005493164,233.220001220703,229.570007324219,231.410003662109,229.490295410156,38802300
2024-10-28,233.320007324219,234.729995727539,232.550003051758,233.399993896484,231.463729858398,36087100
2024-10-29,233.100006103516,234.330001831055,232.320007324219,233.669998168945,231.731521606445,35417200
2024-10-30,232.610000610352,233.470001220703,229.550003051758,230.100006103516,228.191146850586,47070900
2024-10-31,229.339996337891,229.830001831055,225.369995117188,225.910003662109,224.035888671875,64370100
2024-11-01,220.970001220703,225.350006103516,220.270004272461,222.910003662109,221.060791015625,65276700
2024-11-04,220.990005493164,222.789993286133,219.710006713867,222.009994506836,220.168228149414,44944500
2024-11-05,221.800003051758,223.949996948242,221.139999389648,223.449996948242,221.596282958984,28111300
2024-11-06,222.610000610352,226.070007324219,221.190002441406,222.720001220703,220.872375488281,54561100
2024-11-07,224.630004882812,227.880004882812,224.570007324219,227.479995727539,225.592864990234,42137700
2024-11-08,227.169998168945,228.660003662109,226.410003662109,226.960006713867,225.324829101562,38328800
2024-11-11,225,225.699996948242,221.5,224.229995727539,222.614471435547,42005600
2024-11-12,224.550003051758,225.589996337891,223.360000610352,224.229995727539,222.614471435547,40398300
2024-11-13,224.009994506836,226.649993896484,222.759994506836,225.119995117188,223.498077392578,48566200
2024-11-14,225.020004272461,228.869995117188,225,228.220001220703,226.575729370117,44923900
2024-11-15,226.399993896484,226.919998168945,224.270004272461,225,223.378936767578,47923700
2024-11-18,225.25,229.740005493164,225.169998168945,228.020004272461,226.377166748047,44633700
2024-11-19,226.979995727539,230.160003662109,226.660003662109,228.279998779297,226.635284423828,36211800
2024-11-20,228.059997558594,229.929992675781,225.889999389648,229,227.350128173828,35169600
2024-11-21,228.880004882812,230.160003662109,225.710006713867,228.520004272461,226.873580932617,42108300
2024-11-22,228.059997558594,230.720001220703,228.059997558594,229.869995117188,228.213851928711,38168300
2024-11-25,231.460006713867,233.25,229.740005493164,232.869995117188,231.192230224609,90152800
2024-11-26,233.330001831055,235.570007324219,233.330001831055,235.059997558594,233.366455078125,45986200
2024-11-27,234.470001220703,235.690002441406,233.809997558594,234.929992675781,233.237380981445,33498400
2024-11-29,234.809997558594,237.809997558594,233.970001220703,237.330001831055,235.620086669922,28481400
2024-12-02,237.270004272461,240.789993286133,237.160003662109,239.589996337891,237.863830566406,48137100
2024-12-03,239.809997558594,242.759994506836,238.899993896484,242.649993896484,240.901779174805,38861000
2024-12-04,242.869995117188,244.110000610352,241.25,243.009994506836,241.259185791016,44383900
2024-12-05,243.990005493164,244.539993286133,242.130004882812,243.039993286133,241.288955688477,40033900
2024-12-06,242.910003662109,244.630004882812,242.080001831055,242.839996337891,241.090393066406,36870600
2024-12-09,241.830001831055,247.240005493164,241.75,246.75,244.972229003906,44649200
2024-12-10,246.889999389648,248.210006713867,245.339996337891,247.770004272461,245.984893798828,36914800
2024-12-11,247.960006713867,250.800003051758,246.259994506836,246.490005493164,244.714126586914,45205800
2024-12-12,246.889999389648,248.740005493164,245.679992675781,247.960006713867,246.173522949219,32777500
2024-12-13,247.820007324219,249.289993286133,246.240005493164,248.130004882812,246.342300415039,33155300
